Czy wiesz gdzie jest najbliższy przystanek autobusowy? ,Do you know where the nearest bus stop is?
Czy była już 73? ,Has the 73 been yet? 
Którym autobusem powinienem pojechać  żeby dostać się do stacji Victoria? ,Which bus should I take to get to Victoria Station? 
Dziesiątka [dosł. numer 10] zatrzymuje się na stacji Victoria. ,The number 10 S?ops at Victoria Station. 
Jak często kursuje numer 73? ,How often does the number 73 run? 
Ostatnio jeździ spóźniony ale powinien nadjechać I być tutaj lada moment. ,"Recently i?s been running late, but it should come / be here any minute now. "
Jak długo czekasz? ,How long have you been waiting (for)? 
Przepraszam czy wiesz który autobus jedzie do Hyde Parku? ,"Excuse me, do you know which bus goes to Hyde Park? "
Tamten piętrowy autobus przejeżdża obok Hyde Parku. ,That double decker goes past Hyde Park. 
Gdzie mogę kupić bilet? ,Where can I buy a ticket? 
Ile wynosi opłata za przejazd (autobusem)? ,How much is the bus fare? 
Nadjeżdża. ,I?s coming. 
Mam nadzieję że ma klimatyzację — jest tak gorąco. ,I hope it has air conditioning. i?s so hot. 
A to nie jest nasz autobus. ,"Oh, this is not our bus. "
Ten jedzie w drugą stronę. Tu jest nasz autobus / Oto nasz autobus. ,This one's going the Other way. Here's our bus. 
Dzięki Bogu. Myślałem że nigdy nie przyjedzie.,?hank God. I thought i? would never 
Wsiadamy? ,Shall we get on? 
Wiesz gdzie powinniśmy wysiąść? ,Do you know where we should get off? 
